,X,y
2352,"By 1976 the western was an exhausted genre and the makers of this film clearly knew it. Still, instead of shelving the project and saving us from having to watch it, they went ahead and made it anyway. Apparently in need of an interesting thread to get the audiences to come and see the film, they decided to make it as blatantly violent and unpleasant as possible. Hell, it worked for The Wild Bunch so why shouldn't it work here? Of course, The Wild Bunch had the benefit of a superb script but the script of The Last Hard Men is plain old-fashioned rubbish.<br /><br /> It's hard to figure out what attracted Charlton Heston and James Coburn to their respective roles. Heston plays a retired lawman who goes after an escaped bunch of convicts led by a violent outlaw (Coburn). The hunt becomes even more personal when Heston's daughter (Barbara Hershey) is kidnapped by the convicts and subjected to sexual degradation.<br /><br /> This is a bloodthirsty film indeed in which every time someone dies it is displayed in over-the-top detail. It's tremendously disappointing really, because the star pairing sounds like a mouth-watering prospect. There's no sense of pace or urgency in the film either. It takes an eternity to get going, but when the action finally does come it is marred by the emphasis on nastiness. All in all, this might be the very worst film that Heston ever made. I'm sure it's one of the productions he is loathe to include on his illustrious CV.",0
3379,"A group of people are invited to there high school reunion, but after they arrive they discover it to be a scam by an old classmate they played an almost fatal prank on. Now, he seeks to get revenge on all those that hurt him by sealing all the exits and cutting off all telephone lines.<br /><br />Dark slasher film with an unexceptional premise. Bringing it up a notch are a few good performances, some rather creative death scenes, plenty of excitement & scares, some humor and an original ending.<br /><br />Unrated for Extreme Violence, Graphic Nudity, Sexual Situations, Profanity and Drug Use.",0
3938,"If you're after the real story of early Baroque painter Artemisia Gentileschi, you'll be disappointed- however if you're after a reasonably crafted bodice ripper with an art theme, you've found you're movie.<br /><br />This film is such a foundationally inaccurate depiction of Artemisia Gentileschi's life that it almost made me weep. (Type in Artemisia inaccuracies in Google and check out some of the fact vs. fiction articles.) From a purely technical point of view though, the film was alright: the sets, costumes, and especially the chiaroscuro lighting helped create an immersive early 17th century experience; although the above mentioned GLARING FACTUAL INACCURACIES let it down a bit.<br /><br />I wonder how the director/co-writer Agnès Merlet defended her film at the time? Perhaps she refused to portray Artemisia as a victim, which would've been unfortunate, because lets face it, she was.",0
2353,"A Nightmare on Elm Street: The Dream Child, the fifth installment in the Nightmare on Elm Street series and the worst sequel ever in the series, even worse than A Nightmare on Elm Street 2. I was lucky enough to get the Nightmare on Elm Street DVD box set for my birthday and I watched all the sequels. The dream child was the worst without a doubt, I was surprised too since they were doing so well with the last two sequels. But I guess they just lost the charm, the story was just ridicules and I wasn't happy with where it went. Alice just became more annoying, she's not Nancy or Kirsten, so her carrying this film on her own didn't work for me. Freddy is also loosing his scare, this was just getting a bit silly.<br /><br />Alice is back and she's carrying a child, she couldn't be happier with her life. But Freddy is also back and he's not going to be too light on her since she defeated him so easily in the fourth movie. But anyways, he wants her child and to be born into the world again. Did you ever wonder if Freddy had parents too? Well that's what A Nightmare on Elm Street: The Dream Child investigates and Alice soon finds out what Freddy's childhood was like and that maybe that's the one thing that can defeat him.<br /><br />A Nightmare on Elm Street: The Dream Child is just all in all a bad movie and an insult to the series. I don't think anyone could be happy with this sequel. Just the story was really silly, I mean it could have possibly worked, but once again, it was just executed the wrong way. I know that if you're looking to see the sequels for the Nightmare on Elm Street series, you should watch it, but I really wouldn't recommend it, it's not worth it, at least in my opinion.<br /><br />3/10",0
2274,"I have three comments to make about this film, which I discovered hanging out forlornly in a lower shelf at Blockbuster. First off, it is interesting to see the approaches film makers take in trying to film essentially unfilmable works. Some have, as Kubrick did with ""Lolita"", gotten the original author to write a screenplay that is something like the original work. Of course that can't happen here; Kraft-Ebing is long dead. Some have used the premises of the original work as a launch point to go in a completely new, unrelated direction (the recent adaptation of ""Tristram Shandy"" comes to mind here). You can dumb it down - the film of ""Slaughterhouse Five"" is to my mind an example of that. Or you can simply take the format of the original and try to render it in cinematic vignettes. That would be the approach of Woody Allen's ""Everything You Wanted to Know About Sex"", and, arguably, this film. Upon consideration, it is probably the only thing one can do with a scholarly work like ""Psychopathia Sexualis"". The potential loss is that whatever cumulative point the original work had is obscured or destroyed. And so it is here.<br /><br />Point two is the cinematic style. Some would call it an ""homage"" to Murnau, Pabst, Carl Dreyer, etc., but I think it more crude than that. Its far too heavy handed and self-conscious to be effective for long. It is eventually just annoying.<br /><br />Point three is perhaps a less intellectual observation. How did the people responsible for this manage to make a film about wild sexual deviations and perversion that is so incredibly boring? I found the film impossible to pay attention to, and anyone who is not automatically drawn to depictions of sexual deviance will find it so as well. I don't want to be completely uncharitable and say the film is pointless, but I have to say that whatever point the film makers had is rather obscured by the nature of the source material, the overt copying of filmic styles, and the stubborn refusal to engage the audience on an emotional level (possibly for fear of being accused of titillation).<br /><br />The film is a dubious exercise from the start and doesn't really work for me, I'm sorry to say.",0
3492,"People who actually liked Problem Child (1990) need to have their heads examined. Who would take the idea of watching a malevolent little boy wreak havoc on others and deem it funny? The movie is not funny, ever, in any way, beginning to end. It wants to be a cartoon, but the writers don't realize that slapstick isn't funny when people get attacked by bears, or hit with baseball bats. It may be funny in cartoons, but not in a motion picture.<br /><br />The film's young hero is Junior (Michael Oliver) who, since he was a baby, has been placed at the front doors of foster parents for adoption. The families reject him, because Junior tends to give them a hard time.<br /><br />He is then thrown into an orphanage, where he terrorizes the nuns, and writes pen pal letters to the convicted Bow-Tie Killer (Michael Richards). He is soon adopted by Ben and Flo Healy (the late John Ritter and his wife, Amy Yasbeck), who are dying to have a child, in order to be just like every other parent in their neighborhood.<br /><br />Junior becomes a member of the Healy household, and ""Little"" Ben takes an interest in him, despite the fact that he destroys a camping trip by luring a bear onto the site, or throws a cat at his father ""Big"" Ben (Jack Warden), a bigoted politician.<br /><br />I think that we're supposed to care for Junior so that we can root for him when he gets his revenge on people. His new mother, Flo, is a bitch, his grandfather is completely selfish, and one little girl--who despises adopted kids--is such a spoiled brat.<br /><br />But what Junior does to get the last laughs isn't funny- -it's mean, cruel, and sometimes life-threatening.<br /><br />And what is the film's message? That kids should resolve problems with violence and vandalism? That they should seek friendship by writing to convicted killers? They definitely don't what it's like to be a bad kid. Junior isn't a one--he's just a sadistic, little twerp. There used to be a time when it was bad for kids to beat up others. Now, everybody's laughing when Junior beats up kids with a baseball bat.<br /><br />It's a shame that this movie has been marketed as a ""family comedy."" What's worse is that Problem Child is rated PG. What was the MPAA thinking when they saw this? There's a lot of profanity and mean-spirited pranks here, that one may wonder about the dividing between the PG and the PG-13.<br /><br />Kids will enjoy this, but parents will be shocked at what is being depicted on screen. And to most people, Problem Child will be considered a ""guilty pleasure"" classic; a film that someone will shamefacedly admit to liking, even though the prevailing opinion, as put forth by more serious viewers, is that the movie is a piece of crap.",0
3976,"***One Out of Ten Stars*** <br /><br />Because if it was, it gets an F. Holy Mother Mary of God was this bad. I mean, I gave it every reasonable accommodation considering it was a straight to video film, but it let me down at every turn. Like so many other B movies, the basic storyline was decent and the filmmakers seemed to have a reasonable level of resources, but the execution was ridiculous. It's a shame they attached the good name of Halloween to this fiasco.<br /><br />The basic premise surrounds some frat douche bags hosting their annual Halloween haunted house fund raiser, when a satanic spell book shows up out of nowhere and hurls the frat boys into a living hell. Well that's the idea anyway, but instead most of the film is devoted to displaying these frat boy's relationship escapades, abound with an outrageous lesbian subplot. Very little of the actual story is devoted to Halloween or the mysterious spell book. It actually makes me mad that the film makers thought they could get away with making such dribble. <br /><br />The film is essentially about frat boy relationships. This IS NOT what the movie is billed as. I'm tempted to track down the producers and at the very least threaten them with bodily harm. The acting is about as bad as it gets, it's atrocious! The script is unintentionally funny. The cinematography is just plain lazy. The whole film is amateur night. This movie actually makes the SyFy channel movie productions look like masterpieces.<br /><br />The last half hour of the film felt like the film makers realized they weren't producing a soap opera and had to throw in some sort of horror sequences. The evil spell book finally comes into play and turns everyone in the haunted house into the character their dressed up as. I almost feel like crying as I write this review. Wow! I mean wow! This thing was an undecipherable chopped up disaster.",0
1586,"I wasn't sure what to expect but am I glad I went to see this. A smart, slightly twisted comedy that makes you think. I wasn't quite sure how a director can create ""nothing"", but leave it to Mr. Natali and the brilliant individuals at C.O.R.E. to create another low budget set that looks real (as real as nothing can be). Well worth your time and money, if you have the opportunity to see this, please go. You'll be glad you did.",1
1536,"When I think of Return of the Jedi I think epic. Yeah Ewoks were in there so what? They're an interesting add to the movie (not to mention they are similar to the Vietcong who were also able to take down a technologically advanced army with primitive acts). Jedi is definitely more darker then the rest of the movies. Emperor Palpatine (portrayed by the amazing theater actor Ian McDiarmid) was one the best parts of the movie. Palpatine is so evil and vicious, Vader looks like Mr. Rogers compared to him . Speaking of Darth Vader, what an amazing end to such an iconic character. Vader is truly a modern day Greek tragedy and I think people can now especially understand and appreciate this after Revenge of the Sith came out. His redemption at the end was moving and really brings a happy yet bittersweet feeling to you. The best part was of course the special effects. It's amazing how a film from the early eighties can still stand the test of time with it's graphics. The scenes at Jabba's palace (Leia looks amazing in that metal bikini) and of course the epic three way battle at the end are still stunning to look at. In all Jedi's deep plot and emotional moments (primarily between Luke Vader and Palpatine and when Luke reveals the truth to Leia) and incredible special effects is a fitting end to one of the most beloved franchises in cinema history.",1
1145,"There are people claiming this is another ""bad language"" ultra violence Mexican movie. They are right, but more than that this film is a call to create awareness of what we have become. The awful truth hurts, or bores when you already have accepted the paradigm of living the third world as the only possible goal. One of the most important things of ""Cero y van cuatro"" is the open invitation to profound reflexion over our current identity. Is that what we all are? Is that all that we want to be? I am abroad and I realized how spoiled is the Mexican society when the Tlahuac Incident came to light. I still cannot understand viewers witnessing a mass broadcasted murder. I nearly puked when I saw some of the images. It was not Irak or Rwanda, just a tiny village near Mexico City when rampage was carried out with the indulgence of media and government. The recreation of a similar situation in this film shocked me deeply. The other stories were good portraying other situations of corruption, dishonesty, betrayal and violence, but I consider ""Tamales de Chivo"" the best one.<br /><br />The movie is deeper than some ""cabrón"" and ""pendejo"" screams. Those are meaningless compared with the actions of the people. With a few exceptions they are all perfect examples of human rubbish. Just like in real life honesty is becoming more the exception than the rule in our country. Moreover, honesty is only rewarded miraculously.",1
384,"A famous orchestra conductor, Daniel Dareus, suffers what appears a heart attack as he finished conducting a concert. Suddenly, we watch him as he arrives in the small town that he has left years before. Since he left so young, and having his name changed contributes to give him a new persona. He has bought the old school building where he plans to stay. The building needs a lot of work. One would expect a man in his position to have all the comforts of the world he left behind to be installed in his new abode, but no, Daniel puts up with the harsh winter in his own way.<br /><br />The local pastor, Stig, whose church has a small choir, comes calling to see if he can interest Daniel in helping, but the conductor has no desire to go back to music. Daniel begins to explore his new universe. The town's people leave him alone. He makes an impression on Lena, who works in the local store where he goes to get his food supplies. Little by little, he comes around and decides to involve himself with the choir. Lena will ultimately fall in love with Daniel.<br /><br />At first, the relationship between Daniel and the choir members is not exactly what he expected. As they get to know him better, they come around to accept him and make him one of them. His new position doesn't endear him to the woman who used to be in charge. The members of the choir are a motley crew, but they realize the change Daniel has made in the way they interpret different songs. The new piece composed for Gabriella, a battered wife, makes a great impact in her life and that of her fellow singers.<br /><br />Daniel's ideas for the repertoire clash with Stig's own. The vicar suddenly begins seeing Daniel in a new light; he is a tormented man who likes to read pornographic magazines before making love to his wife, Siv. His ideas clash with the dogma, as Siv points to him. Stig decides to try to put a stop to what he considers an unhealthy influence of Daniel by firing him as the head of the choir.<br /><br />The choir, which has been invited to participate in a competition travels to Austria. Daniel, who by now has fallen totally for Lena, has a chance to show for the first time in his life his feelings for her when she starts to gets doubts about their relationship. Daniel who is late for his own concert, gets to hear them making extraordinary music even though he is not in among them.<br /><br />Kay Pollak, the director of this enormously appealing film, shows he was the man to direct it. The story involves the viewer from the start. Great part of the success of the movie goes to the ensemble cast that was put together. William Nykvist, who plays the leading role is the best excuse for watching the film. Frida Hallgren, Niklas Falk, Ylva Loof, do excellent work for Mr. Pollak.<br /><br />Stefan Nilsson is the composer for most of the beautiful music one hears. Harald Gunnar Paalgard's cinematography makes the film look better capturing different seasons for the viewer in their beauty.",1
131,"I'd love to give this movie a 10/10, but in its existing state I can only go to 8/10 tops. The post-Code editing (read: destroying) of this film warrants a 2-point demerit.<br /><br />From my very limited knowledge of film history, Baby Face was apparently one of two movies that finally broke the camel's back and brought the full wrath and enforcement of the Production Code into play in 1934. (I don't know what the other movie was.) As a result, the movie in its original incarnation was never allowed to be re-released after 1934. It was chopped and edited to bits, and no original version is known to exist today. The best that we can see today is the version that TCM (Turner Classic Movies) shows, but that is blatantly edited in several scenes, and has a really disappointing ""happy ending"" slapped onto the end.<br /><br />All the above being said, the movie is still pretty darned great and lots of fun to watch. Barbara Stanwyck is, as always, absolutely amazing and wonderful. She is so beautiful and powerful; she just owns the whole movie! She plays a woman who's been used by men her entire life, starting with her father who pimps her out to the local Erie, PA steel workers as well as to local politicians in a quid pro quo of 'if you don't shut down my speakeasy I'll let you sleep with my daughter'. When the father dies in a fiery explosion near the beginning of the flick, the smile on Stanwyck's face is priceless.<br /><br />After the fire, Stanwyck leaves Erie with her maid and heads to New York City. She sets her sights on a skyscraper and starts literally working her way to the top. Starting out with the personnel clerk in the HR department, she sleeps with him to get an entry level position at the bank. From there, she sleeps with man after man after man (including a very young John Wayne) using each new man to help her land a higher paying job on a higher floor of the skyscraper, with increasingly powerful male bosses cum sugar daddies. Stanwyck stops at nothing in her rise to the top. It is great fun to see her and her maid in increasingly fancier clothes and apartments as Stanwyck works her way up the corporate ladder. Stanwyck is the ultimate femme fatale, manipulating, she-vixen in this flick! If you watch this movie, I recommend stopping when you see the George Brent character (Courtland Trenholm) die in Stanwyck's arms. Skip the remaining 3 minutes or so! The ""happy ending"" slapped on to the end of the movie for post-Code audiences is insulting to the audience's intelligence and lame beyond belief: the bank board members are sitting around a table expositing about Mr. and Mrs. Trenholm's million dollar donation to the bank and how they are living happily but poor in Erie, with former VP Trenholm now working in the steel mills - cut to the exact same footage of a steel plant that we saw in the beginning of the movie - ""The End"". PUH-LEEZE - HOW LAME! The movie originally ended with George Brent succeeding in his suicide attempt. I think that ending fits the overall mood of the movie much better than the slapped on post-Code ending.<br /><br />I certainly hope that a print of the original pre-Code version of this flick is discovered during my lifetime (update: the original HAS been found and should be out on DVD and/or TCM in 2006!). Until then, I'll enjoy the TCM version and switch it off before the lame-o post-Code ending.",1
3454,"What starts out as an interesting story quickly disintegrates into nothing. Don't bother watching to the end hoping for an explanation of what is stalking the visitors, there is no ending. No explanation, no resolution, zip. This could have been a good movie it they had purchased an entire script.",0
709,"A woman left alone after the death of her husband finds herself attracted to her son's friend and handy man. In a slightly twisted story, the woman begins sleeping with the handy man in an effort to revive herself. The twisted part? The handy man is also her daughter's on and off love interest.<br /><br />As if this wasn't strange enough, the mother manages to fall for this man and when her daughter finds out, she blames not only her dysfunctional relationship but also her messed up life on her poor mother.<br /><br />Though you may think badly of this woman, the truth is movie manages to portray her in a positive light. Beautifully played by Anne Reid, this character has dimension and portrays great emotion.<br /><br />A truly brilliant performance and an enjoyable film.<br /><br />8/10",1
1419,"Brand Hauser (John Cusack) is an assassin for the CIA. He is ordered to go to the country of Turaquistan, a nation that the United States has ""liberated"", and kill a businessman named Omar Shariff. This is because the American conglomerate, Tamerlane, that is putting the country ""back together"" will not stand for Shariff, an oil man from a neighboring state, laying down his own pipeline through war-torn Turquistan. But, once there, Brand runs into difficulties. One, he meets a determined journalist, Natalie (Marisa Tomei) who wants to tell the American public the ""true"" story of the region's conflict...and of Tamerlane. But, Brand is aghast to realize that Natalie's pretty face and sharp mind instantly and unconsciously compels him to lose focus on his mission. Also, his cover as a trade show host forces him to meet the country's pop-singing princess, Yonica (Hillary Duff), who will be getting married at the convention center. She is a young diva whose wedding arrangements also turn Brand's attention away from the coming assassination. With other inept underlings and complications, will Brand be able to carry out his mission, for the satisfaction of Tamerlane's BIG boss, the former vice-president (Dan Ackroyd)? Good for you, John Cusack, to make this film, even though it doesn't quite hold together. Shot in Serbia, it is a worthy look at what present-day Iraq must be like, a country turned upside-down. In a stroke a brilliance, the green zone here is called ""The Emerald City"" and aptly so, for this Oz-like neighborhood attempts to keep out the ravages of war going on elsewhere in the metropolis. The cast is very fine, with Cusack doing a nice job and Tomei, Joan Cusack, Ben Kingsley, Ackroyd and others backing him up in style. Duff, especially, does a great turn as the heavily-accented, heavily made-up, potty-mouthed singer. The recreation of war-riddled Baghdad is so real that it hurts while the costumes and other production values are top-notch. As for the script, it isn't always cohesive but it certainly has some tremendous dialogue and scenes. For example, a young Turaqui boy offers to show Brand an enemy hideout, in exchange for money and candy. Brand produces the cash but, because he has no candy, the boy burns his vehicle anyway. Brilliant! Then, also, the direction is not a total success but doesn't lag very often. No, if you have conservative leanings, you probably won't like this film one bit. But, if you have an open mind and want to see a satirical view of the ""war on terrorism"", this is quite a good show. Therefore, do make an effort to view it, as you will be supporting those filmmakers who choose to make movies far away from those old studio ""formulas"".",1
740,"he is the quintessential narcissist and manipulator; in this case, portraying attorney (and murderer) Tom Capano.<br /><br />Kathryn Morris is sympathetic as victim, Anne Marie Fahey, but in the beginning is a bit too much the victim. We are sorry for the situation, but become simultaneously disgusted after seeing his victimization of several other women (including Rachel Ward) as well.<br /><br />The sad part is where she is actually getting help with her self-esteem issues, and Capano actually had her psychologist killed. Pretty hard to believe, but this was based on a true story.<br /><br />There is a cameo with Olympia Dukakis (excellent) as Capano's mother. All in all, an interesting story because it is based on a true murder, and you will want to read Ann Rule's book to get the accurate details. 8/10.",1
805,"At first I was weirded out that a TV show's main character could bring the dead back to life, but then I thought I'd give it a shot. Guess what? I love ""Pushing Daisies"" and look forward to Wednesday nights just to watch it, then for the next week I watch it a few more times on my DVR. The colorful characters, witty banter, fast-paced dialogue, and new unique situations draws me in and captivates from beginning to end. Ned and Chuck Charles' relationship is interesting to watch as they work their romance around the fact that they cannot have physical contact. Even Detective Emerson Cod's character has continued to grow in complexity. And Olive Snook! Jiminy Crispies! She cracks me up! The narrator's voice is fun to listen to and the cinematography gives me the impression that I am watching a movie instead of a TV show. I have recommended my family and friends to turn on ""Pushing Daisies"" and they are hooked too!!! The show is well worth waiting a week for a new episode and if you have not seen ""P.D."", I highly recommend watching it!",1
